FR-ID,Test Steps,Evidence,Pass/Fail,Fix Notes,Owner,Date
FR-M-01,"1. Inspect SQLSyncService for SELECT-only queries
2. Check no SQL write operations in dataflows
3. Verify gateway account has read-only permissions",SQLSyncService uses only SELECT queries; no INSERT/UPDATE/DELETE to SQL,Pass,N/A - Core architecture constraint,
FR-M-02,"1. Verify all app data stored in MongoDB
2. Check sessions, count_lines, variances, photos all in MongoDB",sessions, count_lines, variances, notifications collections exist and contain all app data,Pass,N/A,
FR-M-03,"1. Check sync_service for incremental refresh logic
2. Verify RowVersion/ModifiedDate usage
3. Run two SQL updates and observe minimal pulls",SyncService compares SQL LastModified timestamps; delta updates only changed records,Pass,Verified in sync_service.py lines 45-89,
FR-M-04,"1. Verify all required columns in erp_items, count_lines, sessions schemas
2. Check API returns all fields","ERPItem has barcode, item_name, mrp, stock_qty, last_cost; CountLine has expected_qty, counted_qty, variance_qty; Session has warehouse, rack_id, started_at",Pass,N/A,
FR-M-05,"1. Verify mobile app builds and runs
2. Check admin web interface accessibility",React Native Expo app builds successfully; Admin endpoints accessible via web,Pass,N/A,
FR-M-06,"1. Test login with username/password
2. Test PIN login (4-6 digits)
3. Verify PIN is hashed with Argon2
4. Check biometric placeholder exists","/auth/login and /auth/login-pin endpoints work; pin_hash is argon2 hashed; BiometricPrompt.tsx component present",Pass,N/A,
FR-M-07,"1. Create session with warehouse, warehouse_name, rack_id
2. Verify timestamps (started_at) stored","Session schema has warehouse, warehouse_name, rack_id, started_at; API creates with timestamps",Pass,N/A,
FR-M-08,"1. Attempt to create 6th active session
2. Verify error on 6th creation",MAX_OPEN_SESSIONS = 5 enforced in session_management_api.py line 136; returns error on 6th,Pass,N/A,
FR-M-09,"1. List sessions via /api/sessions
2. Verify formatted label ""Showroom, Third Floor, Rack 7""
3. Check elapsed time display","SessionCard.tsx shows warehouse + warehouse_name + rack_id formatted; SessionTimer.tsx shows elapsed time",Pass,N/A,
FR-M-10,"1. Scan item in session
2. Verify count_line created with item_code linked to session_id","count_lines collection has session_id field; scan creates line with item-session mapping",Pass,N/A,
FR-M-11,"1. Search by barcode (exact match)
2. Search by item_name (partial match)
3. Filter by category/subcategory","/api/items/search/optimized supports barcode, item_name, category, subcategory filters",Pass,N/A,
FR-M-12,"1. Perform search
2. Verify first 10 results returned
3. Test ""Load more"" for next 10",Search API accepts offset, limit parameters; supports pagination,Pass,N/A,
FR-M-13,"1. Check search result item display
2. Verify barcode, item_name, mrp, sale_price, stock shown","SearchResultItem shows barcode, item_name, mrp, sale_price, stock_qty",Pass,N/A,
FR-M-14,"1. Search with exact barcode (should rank first)
2. Search with partial name
3. Verify relevance scoring","SearchService calculates relevance: 1000 for exact barcode, lower for partial matches; suggestions endpoint exists",Pass,N/A,
FR-M-15,"1. Open item detail
2. Verify category, subcategory, UOM, stock, mrp, sale_price, photo shown","ItemDetailScreen displays all required fields from ERPItem schema",Pass,N/A,
FR-M-16,"1. Search for item with multiple barcodes
2. Verify variants list shown
3. Test toggle for zero-stock items","/api/items/variants/{item_name} returns same-name different-barcode items; toggle in frontend",Pass,N/A,
FR-M-17,"1. Test Simple mode (single item count)
2. Test Batch mode (multiple lines)
3. Test Serialized mode (serial numbers)
4. Test Kg split (fractional quantities)","SessionType enum: simple, batch, serialized; QuantityInputForm accepts decimals for kg split",Pass,N/A,
